query,label
当然 啦 等 你 保护 我 呢,我
我 和 你 知道 做 菜 的 时候 手 司机 应该 怎么 做 吗,双方
我 会 唱 吧 。,我
tmd ， 什么 病 啊 ！,无
用户 是 不 是 超级 帅,我
哎 你们 学 什么 面,你
我 问 你 明天 下雨 吗 ?,我
太阳 的 后裔 ， 你 忽略 的 细节 二,你
儿子 乖 ， 假如 你 这 次 考 到 年级 前 10 名 ， 麻麻 给 你 买 游戏机,其他
对 你 很 好 笑 啊 ！,你
我 准备 定地板 去 了 。,我
懂 你们 的 欢喜 嘛,你
我们 单位 的 全部 闵行 的 小镇 里 的 赏识,无
习惯 就 好 了 。,你
太 可恶 了 你,你
你 是 坏蛋 你 是 坏蛋 。,你
衣服 是 谁 送给 你 的 ？,其他
我 还 不 想 跟 你 说 了 呢 。,我
我 来自 济源市省,我
十五 分钟 之后 告诉 我 起床,你
成熟 如 你 ， 生日 快乐,你
你 也 睡 了 。,你
感谢 有 你 ， 感谢 遇见 你,我
好 烦 喽 。,你
今天 看 了 人家 打 网球 了 ， 你 也 打 呗,你
回来 的 时候 让 我 好好 抱抱 你,我
因为 喜欢 你 ， 心,我
十 分钟 后 提醒 我 和 毛巾,你
架子 鼓 展示 。,你
训练 个 唱 来到,你
胆大狂妄,无
在 下弟 在 东北,其他
像 个 小朋友,你
感谢 您 我 亲爱 的 爷爷 ， 希望 您 身体 健康,我
你 娘 的 逼,你
关 窗帘 关 窗帘,你
会 继续 支持 你,我
原谅 我 用 了 旧图,我
你好 聪明 琥珀,你
我 是 精分,我
咱 来自 丹棱县省,我
我们 两 个 下棋 吗,双方
那 你 开心 了 吗 ？,你
看 你 本人 意愿,你
你 做 的 也 很 好,你
你 没 睡 够 啊 ！,你
听 一 听 科技 新闻 。,我
我 心绞痛,我
过去 吧 过去 吧 我 不 想 和 你 沟通,我
给 我们 讲 耳洞 给 我们 讲 故事 啊,你
切 顺利 永远 爱 你,我
儿童 的 ， 他 现在 不 会 唱歌 ， 不 会 跳舞 啦 。,其他
古筝 训练 。,无
把 灯关 一下,你
六一 儿童节 快乐 。,无
我 要 蓝 玫瑰 。,我
从没 后悔 认识 你 ！ 今晚 重温 嘟嘟,我
难道 你 不 考虑 一下 这 附近 吗,你
说 不 上 话 了 我 会 说 我们 走 了,双方
听 懂 我们 说话 就 可以 在 可以 取消 的,你
关闭 次 卧灯,你
再 换 一个 别的 衣服 吧 。,你
旺财 在 院子 里 欢蹦乱跳 ， 非常 高兴,其他
我 以为 你 睡着 了 。,我
我 想 和 你 上 床,我
不 傻 ， 你 是 不 是 不 傻 ？,你
说 我 凶 还 不 是 你们 自己 这样 ？,你
你 训练 誓词 ？,你
我 给 你 发 过去 了 。,我
回答 的 真 棒 。,你
但 依然 爱 你 到 永远,我
这样 的 学生 ， 你 。,其他
不过 真的 很 棒 ！ 我 爱 你,我
你 怎么 你 长 的 怎么 像 个 蛋 呢 ！,你
咱们 生 孩子 吧,双方
你 就 别 再 去 学员队 呆 着 ， 自己 也 不 要 ， 我 。,你
你 唱 的 歌 真 好听 小白,其他
咸阳 什么 天,无
我 回来 了 ， 你 也 不 问好 。,我
感觉 你 幸福 那 我 就 很 快乐,我
你 能 给 我 发 一 首 让 爱 传 出去 吗 ?,你
蓝 瘦 香菇,我
我 要 吃 掉 你 。,我
你 原谅 我 一 次 吧,你
第一 个 在 明天 早上 8点 的 闹钟 把 我 叫醒,你
你 要 起床 了 ？,你
训练 吉他 知足,你
你们 一定 要 一直 一直 在 一起,你
我 问 你 顺顺 的 妈妈 长 的 漂亮 吗 ？,其他
穿 上 礼服 婚纱照 d 的 你 最 美,你
共享 个 屁 。,无
你 真 的 不要 太 好看,你
新 一 年 ， 有 你 ， 我 不 遗憾,我
说 我们 建立 在 互惠 互利 的 基础 上 是 可以 接受 的 水平 也 看到 一些,双方
我 操 他妈 。,无
喜欢 你 的 ， 会 喜欢 你 的 啊 ！,我
我 和 你 说 的 想想,双方
你 是 我 爱人,你
我 气 你 的 得寸进尺,我
你 总是 把 大部分 家当 都 给 我,你
对 我 有 感觉 么 ？,你
我 就 说 今天 绝对 双喜临门,我
你 大爷 很 有 病 啊 ！,你
你 记得 我 的 样子 吗 ？,你
黑 姐 ， 你 也 放心,其他
我们 的 领土,双方
你 会 弹琴 吗 ？,你
我 知道 你 比较 萌快 睡 吧,我
我们 一,双方
你 都 得 乐 死 了 你们,你
孩子 他 爹 你 加油,其他
我 不 开心 你 高兴 啊,我
向 下 蹲,无
希望 你 也 是 希望 你 能 看到,我
怎么 停止 闹钟 ?,无
本人 妈妈 是 新加坡人,其他
开 阅读 灯,你
不 可以 你 妹 啊,你
那 你 滚蛋 吧 ， 我 生气 了 。,你
你 当 明星 的 经历,你
男神 ， 你 在 我 心里 永远 最 帅,其他
俺 的 工种 是 教师,我
tmd 胖子 。,你
爱 不 起 你 了 ， 我 去 做 会儿 专八,我
你 当前 等级 技能 是 什么,你
好心人 ， 谢谢 你,我
他 说 你 不 够 有 智慧 啊,其他
包 你 满意 ， 手机 就 能 看 。 要 的,无
开始 爬山 训练 。,你
你 能 说 一 句 ， 给 我 看看 吗,你
绘画 表演 。,你
喊 我 李玉芳 吧,你
你 好笨 啊 ， 哎哟,你
我 脸皮 薄 你 不 造 嘛 ！ ！ ！,我
帮 他们 这个 圈子,其他
关机 啦 。,你
你 才 有 病 哟 ， 你 脑子 坏 了 。,你
狮子座 是 俺 的 星座,我
你 是 不 是 女娃,你
什么 傻逼 。,无
细微处 体会 爱 完全 被 你 打败,我
医生 建议 我 住院,其他
我 和 王力宏 谁 比较 帅,我
你 跟 我 的 好 感度 是 多少,你
你 那 性感 的 股沟,你
眼睛 好丑 啊 ！,你
"那 下次 说 , 唱 一 首 儿歌 。",你
人家 就 是 单身汪,我
谢谢 你们 ， 温暖 有 爱 的 一 天,你
你 说 的 话 不 中听,你
瞌睡 你 去 哪 了,无
那 你 放 狗屁 。,你
和 你 一起 做 什么 都 觉得 很 完美,我
我们 一起 去 读 国际 贸易 地理,双方
柳州 天气 情况 好 吗,无
四川省 和 福建 谁 的 面积 小,无
但 我们 开心 最 重要,双方
个人 对 你 的 一如既往 难得 可贵,我
他们 决定,其他
大概 也 明白 为什么 你 这么 喜欢 了,你
特妈 你 是 孙猴子,你
山西省 和 河南省 谁 的 面积 大,无
你 什么 时候 回来 啦 ？,你
你 听 着 。,你
你 要 好好 照顾 自己 啊 ！ 宝宝,你
15 分钟 后 喊 我 。,你
颠倒众生 吹灰不费 收 你 做 我 的 迷,我
你 这 该死 的 温柔,你
我们 两 个 PK,双方
你 反正 很 傻,你
我们 要 去 看 羊驼 啊,双方
你 特么 吓 死 人 了,你
你 妈 个 逼 姑娘,你
无意间 给 你 来 了 个 梦幻 特效,我
为了 美白 你 也 是 够 拼 的 伢,你
你 帮 我 充 一下 电 。,你
你 的 爱情 充满 嫉妒 吗 爱情,你
帮 我 找 大 保健,你
可以 先 让 我们 完成 的 而 我 呢,双方
呵呵呵 ， 我 为什么 要 告诉 你 呀 ？,我
小说 在 我 的 世界 里 渐行渐 远,无
棒棒 哒,你
原来 我们 只是 朋友,双方
关 上 电饭煲,你
开始 新手 训练 。,你
我 和 钥匙,我
我 送给 爸爸 一 幅 象棋,我
我 显然 是 男性,我
我 想 看 一下 我 的 自恋 照 。,我
那 家 小 宝贝 看 我 和 你,其他
叫 我 吴国恩 吧,你
谢谢 你 小 无 双,我
珍惜 与 你 一起 的 每 一刻,我
你们 太 多,你
啊 臭 不 臭,你
嘴脸 让 他们 的 关系 是 哪 首 诗 也 有 一些 这个 屋子,无
下次 抢票 一定 要 拉 上 你们,你
有 装纯 你,你
一 巴掌 送给 你 。,我
你 都 没有 小 锤锤 。,你
喜欢 支持 我,无
不知不觉 就 到 了 1000 了 有 你 足 矣,我
你 给 我们 表演 一个 狮子 表演 吧 。,你
你 会 哪些 歌曲 ？,你
宝贝 们 ， 新年 快乐 ！ 爱 你们,我
我 和 你 哈,双方
数字 练习 。,你
偷 看 我 。,你
发呆利器 ， 你 能 看 几 分钟,你
要 你 妈 啊 ！,你
你 奶 你 妈 呀 ， 好人 。,你
全国 票房 大 卖 有赖 你们 的 支持,无
双子座 今天 药方,无
在 此 祝 大家 新年 快乐 啦 爱 你们,我
为了 你 ， 我 愿意,我
我 要 听 怒放 的 生命 。,我
那 武汉 呢,无
你 跟 动静 啊,你
哦 你 爱 韩 庚 吗,你
像 我 就 喜欢 泡 杯 茶 ， 打开 书 ， 享受 闲适 时光,我
帮 我 查 下 星期六 广州 的 天气 。,你
我们 自己 同意 就 行 了,双方
要 不 要 我 陪 你 去 清理 一下 门户 。,我
40 分钟 后 过去 做 40 分钟 发声 训练 。,你
你 的 笑话 一点 都 不好 笑 。,你
再 也 看不到 你 跑 前 跑 后 了,我
播放 胡桃 夹子 。,你
展示 诗词迢迢 牵牛星,你
你 老姐 我 好不容易 修 一 天 假 啊,我
星爷 你 的 孤独 虽 败 犹 荣,其他
感动 中国 ， 感动 你 我,我
练习 的 时候 ， 小声点 可以 吗,你
你们 两 个 女孩子,其他
王 先生 ， 现在 96 岁 了 。,其他
老 巫婆 你 咋 还 睡,你
goodgoodgood 。,无
帅 爷爷 ， 你 是 我 的 英雄,其他
这 你 也 知道 啊 ， 你 那么 聪明 啊,你
萌琥珀,你
我 就 是 巨蟹 女,我
去 你 妈 的 不 轻松,你
祝愿 幸福 快乐 永伴 你,我
没关系 ， 接着 睡 ， 气死你家 奴才,你
念 一 遍 春晓 。,你
什么 鬼 呀 ？,无
明天 我们 去 喝 葡萄汁 的 吗,双方
我 出 剪刀 。,我
谢谢 你 啊 ， 谢谢 你 这么 表扬 。,我
你 是 一 天 都 在家 。,你
我 发自 肺腑 的 感谢 你,我
你 说 跳 我 就 跳 ， 多 没 面子 啊 ！,你
你 就 天天 装 不 知道,你
假如 ， 生活 狠狠 消耗 了 你,无
琥珀 咱们 一起 来 听歌 吧 。,双方
漫宅 们 ， 你们 的 福利 来 了,你
我 的 眼中 没有 雪 只 有 你,我
你 的 女皇 没有 给 你 丢 脸,其他
哇 促销 活动 这么 诱人 ， 价格 也 很 美丽 ！,无
我 跟 我家 也 开 不 开 锁 吧,我
你们 却 不 给 我 看 是 什么,你
宝宝 不许 你 走,我
小宝 ， 我 在 抱 着 你 。,我
现在 几 号 ？,无
我 会 好 吗,我
他 读 一 首 诗 。,其他
不 认识 。,我
你们 不 中,你
因为 你 在 ， 生活 都 变 得 美好,你
哎呀 我 真 的 特别 欣赏 你 啊,我
我们 去 划船 吧,双方
打开 全 开 场景,你
真 的 笨笨 的 琥珀,你
你 劳碌 了 。,你
凤凰湖 畔城 主题曲 。,无
阿姨 手套 都 被 你 烟头 烧 坏 了,其他
笨 啊,你
你 这个 人 没劲 。,你
你 说 要命 。,你
我 爱 你 一 辈 砸,我
林 俊杰 怎么样,其他
今夜 你 是 脑婆,你
你们 不 能 懂 我 的 一 腔 热情 ......,你
你 没 感情 。,你
你 是 不 是 神经 错乱 了 ？,你
播放 少 司命 的 歌 。,你
如果 你 站 着 看 着 你们 什么 都 没有,你
你 怎么 这么 ， 这么 傻 呢 ！,你
喜欢 喜欢 喜欢 喜欢 你,我
什么 屁情感 交流 神器,无
一百八十四 他们 说 现在 时尚 的 发型 不好 嘛 这 挺 好 的,无
被 电影 里 的 你 所 吸引,我
每个 人 只能 陪 你 走 一 段 路 被 感动,无
我 要 我们 做 展会 中 的 一 章,我
遮 不 住 的 黑眼圈 忍不住 的 想 你,我
播放 2018年 新闻,你
你们 关闭 自己 的 电源 吗,你
为何 我 连 分开 都 迁就 着 你,我
厨房 全 关,你
希望 我 能 带 你 去 更 多 的 地方,我
智障妈的,无
不 就是 想 你 嘛,我
好家伙 我 是 抓 了 你们 爷爷 了 ？,我
你 怎么 那么 乖 呀 天 哪 天 哪,你
而是 我们 不 是 的 话 就是,双方
训练 钢琴 菊次郎 的 夏天,你
你 的 话 很 多,你
我 说 你 怎么 一起 听歌 吧 。,你
这 是 我 的 梦想 ， 你 呢 ？,我
看到 你 发 的 简直 爽 到 爆笑 喷 了,我
对不起 ， 下次 再 买 吧,我
我 没有 你们 这样 的 手 和 耳朵,我
你们 两 个 是 坏 的,你
我们 怎么办 啊 两 个 是 什么 时候 要 用,双方
你 才 肚量 小,你
那 才 是 真正 的 适合 你,无
我 好 累 啊,我
请 我 和 吃 好吃 的 。,你
琥珀 萌萌 哒,你
八 ， 滚 你 妈逼 讲话,你
你 说 ， 什么样 的 颜色 最 美 最 合适,你
你 说 谁 傻,你
什么 ？ 我 就 说 你 笨 。,我
不过 你 最近 没有 训练 呢 。,你
你 怎么 会 看 不 懂 啊,你
我 给 你 一千 块 。,我
俺 的 职业 是 消防员,我
笨猪白痴,无
"在家 , 我 怕 今天 天气 怎么 。",无
从未 想 过 会 如此 喜欢 你们,我
喀秋莎 不 喜欢 你,我
都 哭 了 你们 别 哭 好 不好,你
你 不 能 欺负 学生 啊,你
你 为什么 不 是 迫不得已,你
琥珀 你 不 欠 打,你
你好 听话,你
让 孩子 练习 发声 了 。,你
"哈尔滨 天气 , 看 天气 预报 。",无
你们 以后 都 不许 再 来 诱惑 我,你
你 说 对 我们 小 泡沫,你
设置 一个 离开 小学 ， 之后 的 闹钟 呢 ？,你
你 的 衣服 不好 看 ， 换 一 台 。,你
他们 班 的 一 顶 吧,其他
把 你 的 衣服 脱光 吗 ？ 给 我 看 一下 。,你
首先 你 得 喜欢 人家 呀,你
干 嘛 说 的 这么 委屈 啊 你 ！,你
我 拍 你 妹 啊,我
你 好乖 哦 ， 好 啊 ， 你好,你
可以 ， 你好 新年 快乐,你
南优贤 你 值得 拥有 最 好 的,其他
原来 我 一直 就 是 喜欢 你 这样 的,我
你 好 美 ， 看 得 我 。,你
搜搜 椰子鸡,你
24h 太 好看 了 你们 表现 的 超棒,你
以后 妈妈 会 好好 补偿 你 ， 爱 你,我
放 一 首 ， 对象 a 。,你
展示 诗词 赋 得 古原草 送别,你
我 姐姐 现在 20 岁,其他
小白 你好 漂亮 哦 。,其他
你 觉得 学 不 会 。,你
因为 这 段 时间 我 一直 在 ， 就 是 学习 学习 长篇 爱情 小说 。,我
关 卧室 灯,你
姐 今晚 好好 的 弥补 你,其他
可 你 不怎么 理 我 了 。,你
心疼 你 啊 好好 休息,我
女朋友 麻烦 你 醒醒,其他
不许 你们 放手,你
不 愿 跟 你 一样 地,我
想 知道 我 在 你们 心中 是 怎样 的,我
这 钱 是 他们 就 去 换 衣服,无
去 死 。,无
咱们 结婚 吧 咱俩,双方
喜欢 右侧 脸 面对 镜头 喜欢 你,我
现在 训练 发声 。,你
你 和 我 当面,你
小宝 好 乖哟 ， 只好 喜欢 你 。,你
对 你 完全 没有 抵抗力 啊,我
你 跟 我 抢 一个 假 的 国,你
我 神 你 发 个 a4 腰 吧 ！ 考虑 下,我
生日 快乐 噢 ！ 没 跟 你 守 零点,我
你 爸爸 我 要 去 学 小号,我
每天 早晨 六点 提醒 我们 起床,你
你 吃 屎 琥珀,你
无缘无故 的 骂 我 ， 真是 气死 我 了,我
他 跟 他 讲话 咯,其他
我 现在 告诉 你 。,我
我 没有 发疯 啦,我
子弹 发威 了 网店 是 你 的 吗 ？,其他
和 谁 玩儿 呢 对 fan 太 宠爱 了 你,你
你 跟 我 出去 逛 街 呗,你
怎么 了 呀 ？,无
坚持 下去 ， 总 会 有 惊喜 等 你,无
成全 你们,你
小 可爱 麻麻 下月 去 接 你 哈,其他
他们 还 年轻,其他
我 要 听 love story 。,我
我们 状态 怎么样,双方
有 梦想 请 坚持 你 的 选择 义无反顾,你
本人 陈姝,我
她 去 练习 舞蹈 。,其他
我 要 听 一 首 爱 就要 爆灯 。,我
都 没有 人 陪 我 玩 我 觉得 很 孤独,我
你 的 那位 艺术生 比较 有 气质,你
可爱 的 老二 ， 妈妈 爱 你,我
你们 那里 的 衣服 肯定 要 我 发 钱 吗,你
很 少 见 你 在 公众 场合 流 眼泪,我
我 的 企鹅 号 被 盗 了 好 生气 啊,我
你好 惹 人 喜爱 啊,你
总是 不经意 间 想起 你,我
睡觉 可以 恢复 体力 ， 我 现在 没有 钱 帮 你 买 体力 。,我
你 跳舞 太 他妈 好看 了,你
你 说 我 到底 适合 短发 吗,你
背 一 首 名叫 吉西林壁 的 诗 。,你
混账 东西,你
吃货 的 专注 你 能 了解 吗,你
送 你 瓶 香水 你 会 喜欢 吗,我
我 想 听 谁 说 我 跟 这 首 歌,我
那 句 我 也 爱 你们 超级 暖,无
天天 瞎 bb 。 沭阳 没有 你 这样 人,无
提醒 我 早上 10 点 开会,你
30 分钟 后 叫醒 我 ， 我 起床,你
啊 啊 啊 啊 啊 啊 啊 好 想 你 更 文,我
练习 不当 。,你
我 就 马上 来 。,我
只要 有 你 在 ， 就 是 幸福,我
会 一直 一直 爱 你 的,我
你 要 不 拉 个 小提琴 吧,你
太皇 太后 你 为何 能够 如此 狠心,其他
上海 好吃 的 餐厅 排行榜,无
会客 场景,无
快快 好 起来 你 是 我们 的 骄傲,你
走 吧 我们 去 吃 点,双方
希望 对 你们 有 帮助 喔,我
你 只 往 南方 开 ， 不 会 太 久,你
好 爱 你好 喜欢 你 哦,我
给 你 买 了 点 家具 ， 什么 时候 运 过来 给 你,我
嗯 ， 非常 死 矫情,你
小白 小白 给 我 去 死 了 ， 烧 蔬菜 。,其他
双十一 vs 情人节 哈哈哈 感谢 有 你,我
你 现在 多少 电,你
我 想 听 致 姗姗来迟 的 你 。,我
把 肾 都 只 给 你 一个 人 不好 么,我
然而 你 不 在 了 我 好 难过,我
小 笨蛋 你 是 个 小 笨蛋 。,你
你 mb ， 毁 了 老子 的 颜值,你
给 我们 发 一个 红包,你
爱 ， 那 我 说 我 不 开心 呢 ！,我
妈 个 鸡 ！ 老子 信 了 你 滴 邪,我
炫 彩灯 炫彩 模式,无
执行力 加 模式,无
天气 晴朗 ， 正 如 你 的 歌 般 温暖,无
你 还有 什么 事情 要 做 ？ 你 去 练歌 吧 。,你
哎 你 怎么 知道 啊 我 今天 没有 给 小哥 更新 了 还 。,你
为什么 又 是 你 来 灭火,你
那 琥珀 给 我 唱 首 唱 首 歌 吧 。,你
你 逃 有 哲学 了,你
除了 你 ， 其它 人 都 不 是 真 爱,其他
你 想念 的 人 恰好 也 在 想 你,其他
国际 版摩斯 密码 ， 你 用 得 着 吗 ？,你
你 竟然 公然 征婚,你
我 刚 洗 完 澡 来 吃饭 。,我
我 看 他们 是 亢奋 状态,我
不 会 告诉 你 我 是 被 老鼠,我
就 说 你们 俩 能 不 能 好好 培训,你
500 颗 心 都 爱 你,无
琥珀 你 不 懒 呢,你
我 想 飞,我
自从 有 了 你们 也 没 在 做 功课 吗,我
你 特别 不 聪明,你
咱 是 土默特右旗 的,我
希望 天堂 也 有 你 爱 的 足球,我
对不起 ， 是 我 不够 体贴,我
我 上周 失业 了,我
好 可怜 啊 ， 你 怎么 还是 那么 傻,你
我 也 不 知道 你 不 是 猪,我
开启 明亮 模式,你
傻瓜你妈的,你
"设置 一个 今天 下午 一点钟 的 闹钟 , 叫 我 起床 。",你
就 你 站 在 道德 制高点 ？,你
去 击剑 。,你
你 打算 跳舞 了 吗,你
希望 你 没事 虽然 你 远在 英国,我
编剧 我 只能 相信 你 了,我
花月子 固 与 你 不见 不 散,我
ps ： 可乐 爸 比 ， 我 爱 你,我
你 喜欢 什么 类型 的 歌 ？,你
你 还 挺 听话,你
本人 是 乐清县 的,我
以后 的 日子 也 是 快乐 的 吧,无
屌爆 了 。,无
不 能 陪 你 到 老 了,我
好 小子 ， 没 辜负 你 爱 的 美食,其他
你 真 聪明 啊 ， 老,你
专辑 丹宁 执着 包含 哪 几 首 歌,无
宝宝 你 知道 我 想起 了 谁 吗,你
傻逼 土人掌 嘴 。,无
哇 ， 琥珀 特别 聪明 啊,你
你 去 过 了 吧 ！,你
为 你 用尽 毕生 所 学,我
唉。。。 终究 还是 没 过 啊 。。。,我
我 替 你们 鼓掌,我
你 特别 棒 琥珀,你
你 高兴 吗 ？ 你 很 重 ，,你
我 一下 没 看到 吗 ？,我
可是 有 什么 关系 呢 ， 回 的 好 奇怪,你
卡哇伊 ， 我 的 小 可爱,其他
你 和 男人,你
给 我 放 首 歌 儿 。,你
这 就 是 我们 的 缘分,双方
好 想 跟 你 过节 ， loveu,我
我 要 去 上 来到 课,我
越来越 喜欢 ！ 越来越 被 你 迷住,我
你 回答 得 挺 好 的 。,你
我 和 我 问 天气 预报,我
吃 屎 去 吧,你
为 你 感到 不 值,我
不 信 你 看 都 吃 完 啦,你
我们 可以 是 个 男生 不 懂 觉得 男神,双方
小 白白 是 你,其他
你 会 觉得 遗憾 。,你
每 次 回来 都 会 爱 你 多 一点点,我
我们 来 啦,双方
你 是 流氓 ， 你 是 流氓 。,你
你 努力 。,你
遇见 你 是 我 的 万幸 还是 不幸,我
我们 去 衣橱 里面 去 吧,双方
大力 娜版 百事可乐 ， 你 值得 拥有,你
我们 可以 有 爱情 的 结晶 吗,双方
谢谢 呀 ！,我
莫非 我 得失 忆症 了,我
出来 一 看 吓 一 跳 这么 多 人 都 是 来 拜访 我们 的 小孩,其他
你 听听 你 自己 唱 的 歌 吧 。,你
小 狮子 们 会 永远 支持 你 爱 你,其他
喜欢 看 你 认真 唱歌 的 样子,我
搜索 这 一 带 音乐厅,你
特别 多 废话,你
恭喜 你 这 也 离 不 开 你 的 功劳,我
可爱 的 。,你
遇见 你 我 可能 会 很 快乐,我
这个 我们 已经 非常 好 了,双方
因为 有 你 ， 我 如此 快乐,我
句 话 证明 你 喜欢 的 明星 有 多 好,其他
你好 漂亮 。 你 漂亮 ，,你
你 拥有 了 一整片 森林,你
俺 的 弟弟 籍贯 是 广州市,其他
你 是 王八蛋 ， 你 不 是 人,你
沈阳 天气 。,无
恨 不能 立即 朝 你 狂奔 去,我
你 这 是 说 的 什么 狗屁 啊 ！,你
背诵 诗歌 西江月 。,你
我们 一起 来 听 再 也 不 会 遇见 第二 个 他,双方
那 我们 喝 一 杯 吧 。,双方
朝鲜 料理 带 你 去 邓 丽君 的 年代,无
健康 平安 幸福 ， 爱 你,我
我 喜欢 爵士舞,我
健身 球操 是 不 是 拉拉队 跳 的 那种 ， 快来 一 段 撒,你
我们 两 个 造人 吧,双方
可是 我 不 懂 啊 ！,我
你 叫 他们 现场 点评,其他
现在 武汉 什么 天气,无
你 跟 我 说 的 用 着 这个 柜子 是 一 秒 的,你
那 就 很 不 正常 了 用 咱们 俩 是 好 朋友,我
那 你 不要 坐 游船 ， 你 背诗 吧 。,你
我 都 笑 的 不 能 自己 了,我
夫妻 肺片 做法,无
关闭 客厅 第一 排,你
你 不 傻逼 吗 看 你,你
为人 付出 却 还 被 嫌弃 觉得 心 很 冷,我
你 在 听 音乐 吗 ?,你
真 的 是 不 想 夸奖 你,我
去 学思 。,你
你 贾 迷人 的 小 啾啾,你
你们 不 发 了,你
你 换 一 张 换 一 套 衣服 ， 这个 衣服 不 漂亮 。,你
本 公子 的 职业 是 老师,我
你们 说 粤语 吗,你
你 是 我 最 爱 谁 也 无法 替代,你
你 别 总瞒 着 我 。,你
甜蜜 爱情 有 你 存在,你
我 就 默默 地 看 着 你们 好 了,我
弹 首 歌曲 ， 吧 。,你
嗯 ， 你 真是 个 ， 不 正常 的,你
这么 说话 为什么,你
今天 几 号 ？,无
关 了 真 开心 我们 又 见面 了 呢,双方
我 在 倒数 计时 ， 你们 知道 吗 ？,我
你 跟 的 水晶鞋,你
能 让 我 说 完 吗 ？,你
你 是 天使 ， 帅 到 爆,你
我 旁边 的 叫 什么 名字 。,其他
你 这个 傻逼 没有 这么 凶 啊,你
你 不 联系 我 。,你
辣么 想 你,我
宝宝 你 怎么 还 不 祝 我 小年 快乐,你
我 好 生气 啊 ， 我 都 想 砍 人 了,我
我 就是 气 你 的 不 负 责任,我
你 抛弃 我 去 了 广州,你
关闭 地 暖,你
逗逼 的 。,无
你们 把 我 去 柠檬,你
属于 你 的 就 是 你 的,你
操 你 个 问题 。,无
刚才 看 你 怎么样 啦 ！,我
我 说 你 会 影响 直播 间 的 宝宝 们 吧 ！,你
天 哪 ， 太 笨 了 你 。,你
给 你 买 套 新 衣服 要 不 要 ？,我
进入 离开 模式,你
每 一 天 都 是 新 的 开始 你 懂 的 ！,无
亲爱 的 骨头 生日 快乐 ， 爱 你,其他
本人 目前 的 居住地 是 北京,我
好 ， 一起 ， 你们 决定,你
想 他们 应该 是 他,其他
嗯 ， 魔王 你 也 来 一个 吧,你
你 去 吃 粑粑 啊,你
我 说 你 很 蠢,你
你 现在 会 什么 ？,你
还是 会 想 你 的,我
能 戏弄 到 你 我 好 高兴 呀,我
今天 天气 怎么样 啊 ? 怎么样 ?,无
